ticker,contract_name,address_chain_42161,address_chain_421614,address_chain_31338,address_chain_31339
USDT,AggregatorV2V3Interface,0x3f3f5dF88dC9F13eac63DF89EC16ef6e7E25DdE7,,,
USDC,AggregatorV2V3Interface,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,,,
WBTC,AggregatorV2V3Interface,0xd0C7101eACbB49F3deCcCc166d238410D6D46d57,,,
LINK,AggregatorV2V3Interface,0x86E53CF1B870786351Da77A57575e79CB55812CB,,,
UNI,AggregatorV2V3Interface,0x9C917083fDb403ab5ADbEC26Ee294f6EcAda2720,,,
DAI,AggregatorV2V3Interface,0xc5C8E77B397E531B8EC06BFb0048328B30E9eCfB,,,
PEPE,AggregatorV2V3Interface,0x02DEd5a7EDDA750E3Eb240b54437a54d57b74dBE,,,
ARB,AggregatorV2V3Interface,0xb2A824043730FE05F3DA2efaFa1CBbe83fa548D6,,,
GRT,AggregatorV2V3Interface,0x0F38D86FceF4955B705F35c9e41d1A16e0637c73,,,
LDO,AggregatorV2V3Interface,0xA43A34030088E6510FecCFb77E88ee5e7ed0fE64,,,
AXL,AggregatorV2V3Interface,0x84e8237CC1418Ea1B4A1e0C3e7F48c3A5fbC81AF,,,
USDD,AggregatorV2V3Interface,0x4Ee1f9ec1048979930aC832a3C1d18a0b4955a02,,,
FRAX,AggregatorV2V3Interface,0x0809E3d38d1B4214958faf06D8b1B1a2b73f2ab8,,,
WOO,AggregatorV2V3Interface,0x5e2b5C5C07cCA3437c4D724225Bb42c7E55d1597,,,
CRV,AggregatorV2V3Interface,0xaebDA2c976cfd1eE1977Eac079B4382acb849325,,,
TUSD,AggregatorV2V3Interface,0x6fAbee62266Da6686EE2744C6f15bb8352d2f28D,,,
PENDLE,AggregatorV2V3Interface,0x66853E19d73c0F9301fe099c324A1E9726953433,,,
COMP,AggregatorV2V3Interface,0xe7C53FFd03Eb6ceF7d208bC4C13446c76d1E5884,,,
GMX,AggregatorV2V3Interface,0xDB98056FecFff59D032aB628337A4887110df3dB,,,
YFI,AggregatorV2V3Interface,0x745Ab5b69E01E2BE1104Ca84937Bb71f96f5fB21,,,
SUSHI,AggregatorV2V3Interface,0xb2A8BA74cbca38508BA1632761b56C897060147C,,,
BAL,AggregatorV2V3Interface,0xBE5eA816870D11239c543F84b71439511D70B94f,,,
JOE,AggregatorV2V3Interface,0x04180965a782E487d0632013ABa488A472243542,,,
DODO,AggregatorV2V3Interface,0xA33a06c119EC08F92735F9ccA37e07Af08C4f281,,,
GNS,AggregatorV2V3Interface,0xE89E98CE4E19071E59Ed4780E0598b541CE76486,,,
KNC,AggregatorV2V3Interface,0xbF539d4c2106dd4D9AB6D56aed3d9023529Db145,,,
STG,AggregatorV2V3Interface,0xe74d69E233faB0d8F48921f2D93aDfDe44cEb3B7,,,
RDNT,AggregatorV2V3Interface,0x20d0Fcab0ECFD078B036b6CAf1FaC69A6453b352,,,
SPELL,AggregatorV2V3Interface,0x383b3624478124697BEF675F07cA37570b73992f,,,
WETH,AggregatorV2V3Interface,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,,,
stETH,AggregatorV2V3Interface,0x07C5b924399cc23c24a95c8743DE4006a32b7f2a,,,
